"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"Five Came Back: The Reference Films","SHOW",1945,"TV-MA",48,1,NA,NA,0.6,NA,"documentation","USA"
"Taxi Driver","MOVIE",1976,"R",113,NA,8.3,795222,27.612,8.2,"crime","USA"
"Monty Python and the Holy Grail","MOVIE",1975,"PG",91,NA,8.2,530877,18.216,7.8,"comedy","UK"
"Life of Brian","MOVIE",1979,"R",94,NA,8,392419,17.505,7.8,"comedy","UK"
"The Exorcist","MOVIE",1973,"R",133,NA,8.1,391942,95.337,7.7,"horror","USA"
"Monty Python's Flying Circus","SHOW",1969,"TV-14",30,4,8.8,72895,12.919,8.3,"comedy","UK"
"Dirty Harry","MOVIE",1971,"R",102,NA,7.7,153463,14.745,7.5,"thriller","USA"
"My Fair Lady","MOVIE",1964,"G",170,NA,7.8,94121,15.949,7.6,"drama","USA"
"The Blue Lagoon","MOVIE",1980,"R",104,NA,5.8,69053,44.038,6.2,"romance","USA"
"Bonnie and Clyde","MOVIE",1967,"R",110,NA,7.7,111189,15.309,7.5,"drama","USA"
"The Professionals","MOVIE",1966,"PG-13",117,NA,7.3,16168,12.155,7.1,"western","USA"
"The Guns of Navarone","MOVIE",1961,NA,158,NA,7.5,50150,15.405,7.4,"war","USA"
"Lupin the Third: The Castle of Cagliostro","MOVIE",1979,"PG",100,NA,7.6,30277,14.008,7.5,"comedy","Japan"
"Richard Pryor: Live in Concert","MOVIE",1979,"R",78,NA,8.1,5141,4.681,7.5,"comedy","USA"
"The Long Riders","MOVIE",1980,"R",99,NA,6.9,11329,8.808,6.6,"western","USA"
"White Christmas","MOVIE",1954,NA,115,NA,7.5,42373,9.71,7.2,"romance","USA"
"Cairo Station","MOVIE",1958,NA,77,NA,7.5,4385,3.556,7.4,"drama","Other"
"The Queen","MOVIE",1968,NA,68,NA,7.2,1117,2.419,6.5,"documentation","USA"
"Hitler: A Career","MOVIE",1977,"PG",150,NA,7.5,2416,9.305,7.4,"documentation","Germany"
"FTA","MOVIE",1972,"R",97,NA,6.2,411,2.466,6.1,"comedy","USA"
"Saladin the Victorious","MOVIE",1963,NA,186,NA,7.6,2470,4.816,7.1,"drama","Other"
"Singapore","MOVIE",1960,NA,158,NA,6.4,82,1.611,6.3,"drama","India"
"Dark Waters","MOVIE",1956,NA,120,NA,6.7,590,1.044,5.9,"drama","Other"
"Alexandria… Why?","MOVIE",1979,NA,133,NA,7.2,1689,1.736,6,"drama","Other"
"Raya and Sakina","MOVIE",1953,NA,105,NA,6.8,231,1.826,5.8,"drama","Other"
"No Longer Kids","MOVIE",1979,NA,235,NA,9,943,2.733,7.7,"comedy","Other"
"Amrapali","MOVIE",1966,NA,120,NA,6.7,225,2.047,6.3,"fantasy","India"
"Dostana","MOVIE",1980,NA,161,NA,2.1,25,3.46,4.9,"drama","India"
"The Blazing Sun","MOVIE",1954,NA,100,NA,7.4,1219,1.866,7,"romance","Other"
"The Return of the Prodigal Son","MOVIE",1976,NA,124,NA,7.2,768,3.768,5.4,"drama","Other"
"Prince","MOVIE",1969,NA,152,NA,6.9,168,1.788,7,"romance","India"
"Lock Your Girls In","MOVIE",1980,NA,230,NA,NA,NA,2.313,8,"comedy","Other"
"The Witness Who Didn't See Anything","MOVIE",1976,NA,217,NA,NA,NA,2.612,7.7,"comedy","Other"
"The School of Mischief","MOVIE",1973,NA,251,NA,NA,NA,3.381,8.5,"comedy","Other"
"Manoranjan","MOVIE",1974,NA,162,NA,6.5,236,1.22,5.3,"comedy","India"
"Beirut, Oh Beirut","MOVIE",1975,NA,110,NA,6.5,106,1.104,7.3,"drama","Other"
"We Are All for the Fatherland","MOVIE",1979,NA,74,NA,6.2,43,0.6,5.3,"documentation","France"
"Whispers","MOVIE",1980,NA,93,NA,7.8,75,1.4,5,"documentation","France"
"Lal Patthar","MOVIE",1971,NA,153,NA,6.2,137,0.732,7,"drama","India"
"Ujala","MOVIE",1959,NA,142,NA,6.7,78,0.998,6,"romance","India"
"Alibaba Aur 40 Chor","MOVIE",1979,NA,138,NA,6.2,555,2.554,6.8,"drama","India"
"Professor","MOVIE",1962,NA,163,NA,6.8,285,1.9,5.8,"romance","India"
"Chadi Jawani Budhe Nu","MOVIE",1976,NA,135,NA,4.6,14,1.24,6,"romance","India"
"Bandie","MOVIE",1978,NA,141,NA,4.2,35,1.097,6,"drama","India"
"Khoon Khoon","MOVIE",1973,NA,131,NA,5.1,41,1.08,3.8,"drama","India"
"Top Gun","MOVIE",1986,"PG",110,NA,6.9,329656,112.137,7,"drama","USA"
"Seinfeld","SHOW",1989,"TV-PG",24,9,8.9,302700,128.743,8.3,"comedy","USA"
"Stand by Me","MOVIE",1986,"R",89,NA,8.1,392790,16.096,7.9,"drama","USA"
"Once Upon a Time in America","MOVIE",1984,"R",229,NA,8.3,342335,21.322,8.4,"drama","USA"
"When Harry Met Sally...","MOVIE",1989,"R",96,NA,7.7,212913,16.005,7.4,"romance","USA"
"Teenage Mutant Ninja Turtles","MOVIE",1990,"PG",93,NA,6.7,92647,22.75,6.6,"scifi","Other"
"Full Metal Jacket","MOVIE",1987,"R",116,NA,8.3,723306,36.502,8.1,"drama","UK"
"Christine","MOVIE",1983,"R",90,NA,6.7,80945,19.311,6.8,"horror","USA"
"A Nightmare on Elm Street","MOVIE",1984,"R",91,NA,7.4,230543,53.853,7.3,"horror","USA"
"Knight Rider","SHOW",1982,"TV-PG",51,4,6.9,33760,44.378,7.5,"action","USA"
"Awakenings","MOVIE",1990,"PG-13",120,NA,7.8,137549,13.761,7.8,"drama","USA"
"Thomas & Friends","SHOW",1984,"TV-Y",10,24,6.5,4948,49.384,6.6,"family","UK"
"Annie","MOVIE",1982,"PG",127,NA,6.6,44866,15.857,6.5,"drama","USA"
"Pet Sematary","MOVIE",1989,"R",103,NA,6.5,102212,32.854,6.6,"horror","USA"
"Saved by the Bell","SHOW",1989,"TV-G",23,5,7.1,34854,16.945,8,"comedy","USA"
"She's Gotta Have It","MOVIE",1986,"R",84,NA,6.7,14277,6.212,6.7,"comedy","USA"
"Eddie Murphy Raw","MOVIE",1987,"R",93,NA,7.6,19646,9.727,7.3,"comedy","USA"
